ID de cas de test;;C001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description du cas de test;;Évaluation de la page d'accueil du site : https://demo.opencart.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Créé par;;hadil dridi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Revue par;;Nada mekki;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Journal du testeur QA;;Commentaires d'examen : *;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Version;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Résultat du test(Réussite/Échec/Non exécuté);;Réussite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date de création;;juillet 28, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date de révision;;*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S #;Conditions préalables  :;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;accés au navigateur chrome (accés internet);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S #;URL : URL : https://demo.opencart.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Implémentation;;;;;;;;Exécution ;;Bug;;;;;;Test de Confirmation ;;Smoke Testing (on production server);;;;;;;;;;;;;;;;
ID du scénario de test;Scénario de cas de test;Cas de test;Pre-Conditions;Étapes du test;Données de test;Résultats attendus;Post-Condition ;Résultats actuels;Statut (P/F);Titre;ID;Criticité (critique,majeur, mineur);Reproductibilité ( reproductible / non reproductible);Environnement;Capture d'écran;Test de Confirmation ;Deçision;Statut (P/F);Deçision;;;;;;;;;;;;;;;
C001;Tester la capacité des utilisateurs à naviguer dans les catégories de produits pour trouver un produit spécifique;"Naviguer vers la catégorie ""Laptops & Notebooks"" et localiser un ordinateur portable.";site opencat installé et configuré et  L'utilisateur doit être sur la page d'accueil.;"1,Ouvrir le site de démonstration OpenCart à l'adresse https://demo.opencart.com/.
2,Identifier et cliquer sur la catégorie ""Laptops & Notebooks"" dans la barre de navigation.
3,Parcourir les produits disponibles sous cette catégorie.
4,Choisir un ordinateur portable et vérifier les détails du produit (nom, prix, spécifications).";Laptops & Notebooks;"L'utilisateur devrait facilement repérer et comprendre les catégories de produits sur la page d'accueil.
L'utilisateur devrait pouvoir naviguer sans difficulté vers la catégorie ""Laptops & Notebooks"".
Les produits affichés dans cette catégorie devraient être pertinents et clairement présentés, avec des informations détaillées disponibles pour chaque produit.";"La page des résultats de recherche doit afficher une liste de produits correspondant au terme ""MacBook"".
Les utilisateurs doivent pouvoir voir les détails des produits, tels que le nom, le prix et la description.";"[Si passé] Les résultats de recherche affichent correctement les produits liés à ""MacBook"".
[Si échoué] Les résultats de recherche incluent des produits non pertinents ou ne retournent aucun résultat..";En attente;Recherche de produit;C001;majeur;reproductibille;Web (Chrome, Windows 11);Oui (capture de la page des résultats de recherche);oui;;p;;;;;;;;;;;;;;;;
C002;Tester la facilité d'inscription pour un nouvel utilisateur et la connexion avec un compte existant.;Inscription d'un nouvel utilisateur, confirmation de l'inscription, et connexion avec le compte créé.;site opencart installé et configuré,L'utilisateur doit avoir une adresse e-mail valide.;"Accéder à la page d'accueil du site de démonstration OpenCart.
Cliquer sur le bouton ""My Account"" (Mon compte) en haut à droite de la page.
Sélectionner ""Register"" (Inscription) dans le menu déroulant.
Remplir les informations requises pour l'inscription (nom, adresse e-mail, mot de passe, etc.).
Soumettre le formulaire d'inscription.
Vérifier l'e-mail de confirmation envoyé (si applicable).
Se déconnecter (si connecté automatiquement après l'inscription).
Retourner à la page de connexion, entrer les informations du compte créé, et se connecter.";Nom : John Doe //Adresse e-mail : johndoe@example.com// mdp:jd123;"L'utilisateur devrait pouvoir compléter le processus d'inscription sans confusion ou erreurs.
Un e-mail de confirmation devrait être envoyé (si cette fonctionnalité est active).
L'utilisateur devrait pouvoir se connecter avec les informations d'identification fournies.";"L'utilisateur doit être enregistré dans la base de données avec les informations fournies.
L'utilisateur doit recevoir un e-mail de confirmation (si cette fonctionnalité est active).
L'utilisateur doit pouvoir se connecter avec les informations d'identification fournies lors de l'inscription.";"[Si passé] L'inscription se déroule sans problème, un e-mail de confirmation est reçu, et l'utilisateur peut se connecter avec succès.
[Si échoué] L'inscription échoue, aucun e-mail de confirmation n'est reçu, ou l'utilisateur ne peut pas se connecter avec les informations fournies.";En attente;Inscription d'un nouvel utilisateur;C002;majeur;reproductible;Web (Chrome, Windows 11);Oui (capture des écrans d'inscription et de confirmation);oui;;p;;;;;;;;;;;;;;;;
